default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,housing_for free,housing_own,housing_rent,present_emp_since_.. >= 7 years,present_emp_since_... < 1 year,present_emp_since_1 <= ... < 4 years,present_emp_since_4 <= ... < 7 years,present_emp_since_unemployed
1,1,6,0,4,1169,4,4,1,2,4,2,67,1,2,0,1,1,1,0,1,0,1,0,0,0,0
0,0,48,1,4,5951,1,2,0,2,2,2,22,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,12,0,0,2096,1,2,1,2,3,2,49,1,1,1,2,0,1,0,1,0,0,0,0,1,0
1,1,42,1,7,7882,1,2,1,1,4,0,45,1,1,0,2,0,1,1,0,0,0,0,0,1,0
0,1,24,0,2,4870,1,3,1,2,4,3,53,1,2,0,2,0,1,1,0,0,0,0,1,0,0
1,3,36,1,0,9055,4,2,1,2,4,3,35,1,1,1,2,1,1,1,0,0,0,0,1,0,0
1,3,24,1,7,2835,3,3,1,2,4,0,53,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,36,1,3,6948,1,2,1,2,2,1,35,1,1,0,1,1,1,0,0,1,0,0,1,0,0
1,3,12,1,4,3059,0,2,1,2,4,2,61,1,1,1,1,0,1,0,1,0,0,0,0,1,0
0,0,30,0,2,5234,1,4,1,2,2,1,28,1,2,0,1,0,1,0,1,0,0,0,0,0,1
0,0,12,1,2,1295,1,3,0,2,1,1,25,1,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1,48,1,1,4308,1,3,0,2,4,0,24,1,1,0,1,0,1,0,0,1,0,1,0,0,0
1,0,12,1,4,1567,1,1,0,2,1,1,22,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,1,24,0,2,1199,1,4,1,2,4,1,60,1,2,1,1,0,1,0,1,0,1,0,0,0,0
1,1,15,1,2,1403,1,2,0,2,4,1,28,1,1,0,1,0,1,0,0,1,0,0,1,0,0
0,1,24,1,4,1282,2,4,0,2,2,1,32,1,1,1,1,0,1,0,1,0,0,0,1,0,0
1,3,24,0,4,2424,4,4,1,2,4,0,53,1,2,0,1,0,1,0,1,0,1,0,0,0,0
1,1,30,1,1,8072,4,2,1,2,3,1,25,0,3,0,1,0,1,0,1,0,0,1,0,0,0
0,0,24,1,3,12579,1,4,0,2,2,3,44,1,1,0,1,1,1,1,0,0,1,0,0,0,0
1,3,24,1,4,3430,3,3,1,2,2,1,31,1,1,0,2,1,1,0,1,0,1,0,0,0,0
1,3,9,0,2,2134,1,4,1,2,4,1,48,1,3,0,1,1,1,0,1,0,0,0,1,0,0
1,1,6,1,4,2647,3,2,1,2,3,2,44,1,1,0,2,0,1,0,0,1,0,0,1,0,0
1,1,10,0,2,2241,1,1,1,2,3,2,48,1,2,1,2,0,0,0,0,1,0,1,0,0,0
1,0,12,0,3,1804,2,3,1,2,4,0,44,1,1,0,1,0,1,0,1,0,0,1,0,0,0
1,3,10,0,7,2069,4,2,1,2,1,1,26,1,2,0,1,0,0,0,1,0,0,0,1,0,0
1,1,6,1,7,1374,1,1,1,2,2,2,36,0,1,1,1,1,1,0,1,0,0,0,1,0,0
1,3,6,1,4,426,1,4,1,2,4,1,39,1,1,1,1,0,1,0,1,0,1,0,0,0,0
1,2,12,1,4,409,0,3,0,2,3,2,42,1,2,0,1,0,1,0,0,1,0,0,1,0,0
1,0,7,1,4,2415,1,3,1,1,2,2,34,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,1,60,0,1,6836,1,3,1,2,4,3,63,1,2,0,1,1,1,0,1,0,1,0,0,0,0
1,0,18,1,1,1913,0,3,1,2,3,2,36,0,1,0,1,1,1,0,1,0,0,1,0,0,0
1,1,24,1,7,4020,1,2,1,2,2,1,27,2,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,18,1,2,5866,2,2,1,2,2,1,30,1,2,0,1,1,1,0,1,0,0,0,1,0,0
1,3,12,0,1,1264,4,4,1,2,4,3,57,1,1,1,1,0,1,0,0,1,1,0,0,0,0
1,2,12,1,7,1474,1,4,0,2,1,0,33,0,1,0,1,1,1,0,1,0,0,1,0,0,0
0,0,45,0,4,4746,1,4,1,2,2,0,25,1,2,1,1,0,1,0,1,0,0,1,0,0,0
