Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,1.0,0.4959677419354839,0.5040322580645161,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1.0,0.49908164969110036,0.5009183503088996,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,1.0,0.49958298582151794,0.5004170141784821,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,1.0,0.5046235138705416,0.4953764861294584,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,1.0,0.4968131499496813,0.5031868500503187,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,1.0,0.507227332457293,0.492772667542707,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,1.0,0.4992488733099649,0.5007511266900351,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,1.0,0.4992488733099649,0.5007511266900351,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,1.0,0.49908164969110036,0.5009183503088996,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,1.0,0.49307198377830347,0.5069280162216965,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,1.0,0.5068222916324182,0.4931777083675818,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,1.0,0.5047052996532937,0.4952947003467063,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,1.0,0.5048687902294108,0.4951312097705892,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,1.0,0.5024875621890548,0.49751243781094523,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,1.0,0.5016611295681063,0.49833887043189373,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,1.0,0.4999166527754626,0.5000833472245374,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,1.0,0.4985793080394451,0.5014206919605548,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,1.0,0.5045417010734929,0.49545829892650706,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,1.0,0.4959677419354839,0.5040322580645161,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,1.0,0.49966644429619744,0.5003335557038026,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
