Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1
0,16,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,16,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,16,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,16,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,16,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,16,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,16,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,16,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,16,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,16,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,16,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,16,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,16,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,16,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,16,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,16,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,16,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,16,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,16,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,16,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,8,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,8,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,8,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,8,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,8,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,8,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,8,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,8,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,8,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,8,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,8,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,8,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,8,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,8,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,8,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,8,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,8,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,8,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,8,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,8,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,2,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,2,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,2,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,2,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,2,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,2,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,2,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,2,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,2,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,2,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,2,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,2,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,2,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,2,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,2,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,2,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,2,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,2,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,2,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,2,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,1,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,1,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,1,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,1,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,1,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,1,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,1,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,1,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,1,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,1,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,1,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,1,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,1,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,1,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,1,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,1,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,1,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,1,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,1,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.85,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,0.85,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.85,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,0.85,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0.85,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.85,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.85,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.85,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.85,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.85,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.85,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.85,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.85,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,0.85,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,0.85,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,0.85,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.85,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,0.85,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,0.85,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,0.85,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.5,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,0.5,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.5,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,0.5,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0.5,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.5,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.5,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.5,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.5,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.5,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.5,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.5,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.5,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,0.5,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,0.5,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,0.5,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.5,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,0.5,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,0.5,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,0.5,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.4,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,0.4,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.4,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,0.4,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0.4,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.4,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.4,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.4,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.4,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.4,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.4,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.4,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.4,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,0.4,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,0.4,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,0.4,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.4,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,0.4,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,0.4,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,0.4,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.3,1.0,0.4078869923484403,0.5921130076515597,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,0.3,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.3,1.0,0.41664250507393447,0.5833574949260656,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
3,0.3,1.0,0.40578854105138806,0.5942114589486119,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
4,0.3,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.3,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.3,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.3,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.3,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.3,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.3,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.3,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.3,1.0,0.40349836940409134,0.5965016305959087,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
13,0.3,1.0,0.4092777451556078,0.5907222548443922,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
14,0.3,1.0,0.41255474452554747,0.5874452554744525,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
15,0.3,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.3,1.0,0.40270149918361287,0.5972985008163871,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
17,0.3,1.0,0.40901747686885004,0.59098252313115,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
18,0.3,1.0,0.4101436528877162,0.5898563471122837,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
19,0.3,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.2,1.0,0.40779985283296544,0.5922001471670346,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,0.2,1.0,0.403409933283914,0.5965900667160859,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
5,0.2,1.0,0.41246897357278434,0.5875310264272157,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
6,0.2,1.0,0.41117939713198715,0.5888206028680129,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
7,0.2,1.0,0.404645657641663,0.595354342358337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
8,0.2,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
9,0.2,1.0,0.406664700678266,0.593335299321734,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
10,0.2,1.0,0.41315444071751495,0.586845559282485,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
11,0.2,1.0,0.41126554498902707,0.588734455010973,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
12,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
13,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
14,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
15,0.2,1.0,0.4095377842993397,0.5904622157006603,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
16,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
17,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
18,0.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
19,0.2,1.0,0.4132400116652085,0.5867599883347915,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,0.1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
