Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,CSP_X0_maj,CSP_X0_min,CSD_X0,CSP_X1_maj,CSP_X1_min,CSD_X1,CSP_X2_maj,CSP_X2_min,CSD_X2,CSP_X3_maj,CSP_X3_min,CSD_X3,CSP_X4_maj,CSP_X4_min,CSD_X4
0,1.0,0.5121690291521798,0.48783097084782023,1.0,0.6756694367497692,0.3243305632502308,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,1.0,0.5081588251291814,0.4918411748708186,1.0,0.6791431261770244,0.32085687382297556,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,1.0,0.5076733351603179,0.4923266648396821,1.0,0.6778586522657901,0.3221413477342099,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,1.0,0.5180901143241425,0.48190988567585746,1.0,0.6851211072664359,0.31487889273356406,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,1.0,0.5135722041259501,0.48642779587404994,1.0,0.6916019760056458,0.30839802399435423,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
5,1.0,0.51577962021931,0.48422037978069,1.0,0.6831569259088818,0.3168430740911182,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6,1.0,0.5222087214796813,0.47779127852031866,1.0,0.68994928538497,0.31005071461503,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
7,1.0,0.5176244685228364,0.4823755314771636,1.0,0.689760450915923,0.310239549084077,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
8,1.0,0.5167668670674682,0.4832331329325318,1.0,0.6894882434301521,0.31051175656984786,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
9,1.0,0.5160723933009185,0.4839276066990815,1.0,0.6859825927622538,0.3140174072377462,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10,1.0,0.5122382376937721,0.4877617623062279,1.0,0.6870318352059925,0.31296816479400746,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,1.0,0.5147554237973319,0.48524457620266814,1.0,0.6854427445526193,0.31455725544738067,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
12,1.0,0.516055962691539,0.48394403730846103,1.0,0.6865705788149165,0.31342942118508355,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
13,1.0,0.5067732321863994,0.49322676781360064,1.0,0.6712930835068239,0.32870691649317607,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
14,1.0,0.5181978081450412,0.48180219185495876,1.0,0.6843938690199721,0.3156061309800279,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
15,1.0,0.5196476964769647,0.48035230352303526,1.0,0.6866189045528079,0.31338109544719206,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16,1.0,0.5217274678111588,0.47827253218884125,1.0,0.6847133757961783,0.3152866242038217,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
17,1.0,0.5128873046339457,0.4871126953660543,1.0,0.6851284468536413,0.31487155314635873,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
18,1.0,0.5149659863945578,0.4850340136054422,1.0,0.6844088553933113,0.3155911446066887,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
19,1.0,0.5101738310200782,0.4898261689799218,1.0,0.6795224977043158,0.32047750229568417,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
